URL,Discount,Rating,Brand,Item,MRP,Reviews
sarees/anouk/anouk-woven-design-zari-silk-blend-banarasi-saree/21478886/buy,Rs. 1249,4.3,Anouk,Woven Design Banarasi Silk Blend Saree,Rs. 4799,1.6k
sarees/mitera/mitera-ombre-dyed-ready-to-wear-saree/23194436/buy,Rs. 830,3.9,Mitera,Ready to Wear Saree,Rs. 4612,2.9k
sarees/tikhi+imli/tikhi-imli-red--green-floral-printed-poly-georgette-ready-to-wear-saree/22780968/buy,Rs. 1471,4,Tikhi Imli,Ready To Wear Saree,Rs. 3198,1.1k
sarees/mitera/mitera-kalamkari-printed-zari-pure-silk-saree/29275034/buy,Rs. 849,3.9,Mitera,Kalamkari Pure Silk Saree,Rs. 4998,35
sarees/all+about+you/all-about-you-pure-chiffon-saree/25979092/buy,Rs. 1348,4.1,all about you,Pure Chiffon Saree,Rs. 7099,183
sarees/anouk/anouk-green-bandhani-pure-chiffon-bandhani-saree/24362462/buy,Rs. 999,4,Anouk,Bandhani Pure Chiffon Saree,Rs. 4399,203
sarees/kalini/kalini-ethnic-motifs-zari-kanjeevaram-saree/28529600/buy,Rs. 659,2.2,KALINI,Ethnic Motifs Zari Saree,Rs. 2999,61
sarees/suta/suta-pink--black-polka-printed-pure-cotton-saree-/15243886/buy,,4,Suta,Printed Pure Cotton Saree,,789
sarees/house+of+pataudi/house-of-pataudi-red--gold-toned-floral-sequinned-silk-blend-banarasi-saree/14995546/buy,Rs. 3359,4.2,House of Pataudi,Floral Banarasi Silk Blend Saree,Rs. 6999,820
sarees/mitera/mitera-pink-embroidered-georgette-saree/24434610/buy,Rs. 2599,4,Mitera,Pure Georgette Saree,Rs. 12499,621
sarees/swadesi+stuff/swadesi-stuff-embellished-pure-georgette-saree/29021182/buy,Rs. 1199,3.6,SWADESI STUFF,Pure Georgette Saree,Rs. 5999,13
