URL,Discount,Rating,Brand,Item,MRP,Reviews
dresses/antheaa/antheaa-black-ethnic-motifs-printed-v-neck-a-line-midi-dress/25883970/buy,Rs. 1079,3.4,Antheaa,Printed A-Line Midi Dress,Rs. 2399,183
dresses/antheaa/antheaa-floral-printed-chiffon-high-neck-fit--flare-midi-dress/28245544/buy,Rs. 1439,4.1,Antheaa,Chiffon Fit & Flare Midi Dress,Rs. 3199,101
dresses/stylecast/stylecast-lavender-floral-printed-shoulder-straps-fit--flare-dress/27652732/buy,Rs. 1149,4.1,StyleCast,Printed Fit & Flare Dress,Rs. 2649,91
dresses/kalini/kalini-floral-printed-v-neck-empire-cotton-opaque-casual-dress/27628440/buy,Rs. 899,,KALINI,Cotton Opaque Casual Dress,Rs. 2999,
dresses/forever+new/forever-new-women-shirt-midi-dress/30099115/buy,,,Forever New,Shirt Midi Dress,,
dresses/anayna/anayna-floral-print-puff-sleeves-fit--flare-mini-dress/27121450/buy,Rs. 1154,4.3,anayna,Floral Print Dress,Rs. 3299,169
dresses/baesd/baesd-girls-floral-print-cotton-fit--flare-casual-dress-comes-with-a-belt/28990440/buy,Rs. 599,3.5,BAESD,Girls Print Fit & Flare Dress,Rs. 4999,305
dresses/styli/styli-v-neck-fit-flare-maxi-dress/22954286/buy,Rs. 1851,4.2,Styli,V-Neck Fit & Flare Maxi Dress,Rs. 1949,194
dresses/sassafras/sassafras-black--pink-floral-printed-wrap-dress/10856160/buy,Rs. 503,4.3,SASSAFRAS,Floral Wrap Dress,Rs. 2399,27k
dresses/forever+new/forever-new-ruched-sleeveless-fit-and-flare-maxi-dress/30114438/buy,,,Forever New,Fit and Flare Maxi Dress,,
dresses/sassafras/sassafras-blue-floral-printed-cut-out-crepe-maxi-dress/23057994/buy,Rs. 824,4.4,SASSAFRAS,Printed Crepe Maxi Dress,Rs. 2498,15.1k
dresses/indibelle/indibelle-navy-blue-floral-puff-sleeves-midi-dress/18135186/buy,Rs. 623,4.1,Indibelle,Floral Puff Sleeves Midi Dress,Rs. 2599,4.1k
dresses/stylecast/stylecast-orange--black-floral-print-fit--flare-midi-dress/27756680/buy,Rs. 1149,3.8,StyleCast,Floral Print Fit & Flare Dress,Rs. 2849,50
dresses/here%26now/herenow-beige--brown-ethnic-motifs-chiffon-dress/20390074/buy,Rs. 957,4.2,HERE&NOW,Ethnic Motifs Chiffon Dress,Rs. 3990,2.4k
dresses/antheaa/antheaa-floral-printed-pleated-puff-sleeves-tiered-chiffon-fit--flare-midi-dress/28245542/buy,Rs. 1304,4,Antheaa,Fit & Flare Midi Dress,Rs. 2899,92
